ph,Turbidity,Solids,Conductivity,Potability
7.993428306022466,1.84814722379217,402.8566574831989,575.5095106902842,0
6.72347139765763,2.8665227499083974,329.2327296963682,470.3324709948118,0
8.295377076201385,0.7754487467968263,359.6102462417879,513.7289232025541,0
10.046059712816051,2.6447638197477668,333.60903940801677,476.5843420114526,0
6.531693250553328,1.0623426455838858,507.7003028452403,725.2861469217719,0
6.531726086101639,0.9240919275469448,313.04602893541175,447.208612764874,0
10.158425631014785,0.3214382840095588,225.9568082981023,322.7954404258604,0
8.534869458305817,0.3292668727493413,151.79429424130151,216.84899177328788,0
6.061051228130096,1.5347260615221885,314.9453241493597,449.9218916419424,0
8.08512008717193,1.1066691280991072,0.0,0.0,0
6.073164614375076,0.7167392385465601,254.1995397434203,363.1421996334576,0
6.068540492859486,1.3797398202976086,251.18241961101185,358.8320280157312,0
7.483924543132068,0.7635445978809813,88.97408049358069,127.10582927654384,1
3.173439510684404,1.3129186764005842,150.04278258816055,214.3468322688008,0
3.5501643349739345,0.9434527369391456,393.35205422075376,561.9315060296483,0
5.875424941518054,1.862648838552056,312.2996448704947,446.1423498149925,0
4.974337759331153,1.8540083528704048,294.2503667190258,420.3576667414655,0
7.628494665190548,1.139161109537873,322.88865475048317,461.2695067864045,0
5.183951848957578,0.9295632081572685,292.96786231284926,418.5255175897847,0
4.175392597329417,0.9489939987934406,454.00075880016396,648.5725125716629,0
9.931297537843108,1.8102081009459208,297.2800854385108,424.68583634072974,0
6.548447399026928,0.8919238326557393,75.85016406537494,108.35737723624992,1
7.135056409375848,0.6848830200961842,508.21819508241737,726.025992974882,0
4.150503627573086,0.4206914825110712,331.8476374260384,474.06805346576914,0
5.911234550949635,1.1213012639882671,197.50447768869054,282.1492538409865,0
7.221845179419732,1.1472010167924769,104.5237594386974,149.3196563409963,1
4.698012845155395,1.9174342716832056,335.42799093412634,479.1828441916091,0
7.751396036691344,0.7071784696790296,263.59591930358744,376.5655990051249,1
5.798722620162391,0.9794242277283868,500.3805500445372,714.8293572064817,0
6.416612500413446,1.8178973383369328,231.57298070664407,330.8185438666344,0
